ID,Year,BranchName,NumberofVisits
4,2012,AG,434320
14,2012,BL,373581
16,2012,BRW,392397
20,2012,CED,415753
22,2012,CL,1493796
38,2012,FV,442214
65,2012,ND,407488
79,2012,RI,421962
94,2012,TRL,1137016
98,2012,WS,488396
105,2013,AG,451500
115,2013,BL,367025
117,2013,BRW,399650
121,2013,CED,405263
123,2013,CL,1690775
166,2013,ND,328400
180,2013,RI,409390
195,2013,TRL,1226659
199,2013,WS,471800
206,2014,AG,424457
216,2014,BL,355250
218,2014,BRW,420963
222,2014,CED,366123
224,2014,CL,1561767
241,2014,FV,191404
269,2014,ND,299729
283,2014,RI,553673
298,2014,TRL,1247697
302,2014,WS,439963
309,2015,AG,397421
319,2015,BL,362150
321,2015,BRW,380100
325,2015,CED,352780
327,2015,CL,1538044
344,2015,FV,426072
372,2015,ND,306319
386,2015,RI,422923
402,2015,TRL,1310779
406,2015,WS,405225
413,2016,AG,313157
423,2016,BL,364124
425,2016,BRW,423004
429,2016,CED,363118
431,2016,CL,1347718
448,2016,FV,518674
476,2016,ND,364658
490,2016,RI,296948
506,2016,TRL,1462894
510,2016,WS,441229
517,2017,AG,326233
527,2017,BL,360508
529,2017,BRW,429296
533,2017,CED,384227
535,2017,CL,342972
552,2017,FV,566666
580,2017,ND,391543
594,2017,RI,252083
610,2017,TRL,1604864
614,2017,WS,402862
621,2018,AG,368837
631,2018,BL,369395
633,2018,BRW,434621
637,2018,CED,355089
639,2018,CL,830485
656,2018,FV,546827
684,2018,ND,373362
698,2018,RI,275100
713,2018,TRL,1594315
717,2018,WS,373195
724,2019,AG,356784
734,2019,BL,363692
736,2019,BRW,404356
740,2019,CED,355086
742,2019,CL,1398539
759,2019,FV,514987
787,2019,ND,357327
801,2019,RI,298478
817,2019,TRL,1507185
821,2019,WS,362674
827,2020,AG,81923
837,2020,BL,131749
839,2020,BRW,84002
843,2020,CED,104056
845,2020,CL,456052
862,2020,FV,157316
890,2020,ND,85226
904,2020,RI,110394
920,2020,TRL,409542
924,2020,WS,71640
930,2021,AG,81572
940,2021,BL,85695
942,2021,BRW,60079
946,2021,CED,74951
947,2021,CL,309869
964,2021,FV,119530
991,2021,ND,5612
1005,2021,RI,86957
1020,2021,TRL,244641
1024,2021,WS,51362
1030,2022,AG,137685
1040,2022,BL,202438
1042,2022,BRW,199345
1046,2022,CED,187054
1048,2022,CL,827795
1065,2022,FV,295488
1092,2022,ND,234291
1106,2022,RI,179693
1122,2022,TRL,745217
1126,2022,WS,163061
